DATE,USAGE,TOTAL
22:13:16,63310,452040
22:13:17,63310,452040
22:13:18,63310,452040
22:13:19,63310,452040
22:13:20,63310,452040
22:13:21,63310,452040
22:13:22,63310,452040
22:13:23,63310,452040
22:13:24,63310,452040
