DATE,USAGE,TOTAL
<<<<<<< HEAD
14:50:37,273,1689
14:50:38,272,1689
14:50:39,272,1689
=======
22:13:16,2151,15917
22:13:17,2152,15917
22:13:18,2151,15917
22:13:19,2151,15917
22:13:20,2152,15917
22:13:21,2152,15917
22:13:22,2152,15917
22:13:23,2152,15917
22:13:24,2152,15917
>>>>>>> ac33d84ece78aa9fa6024ad3b62f585bc5c35dfc
